"unitid","lon","lat"
183822,-74.19593,40.794218
430847,-74.288099,40.875747
430999,-74.29378,40.879049
183910,-74.273697,40.834285
363077,-74.150342,40.887599
440235,-74.153706,40.865095
187198,-74.319784,40.667835
186867,-74.025334,40.744776
407407,-74.294021,40.68951
184746,-74.25339,40.633953
185244,-74.32134,40.788733
185624,-74.208665,40.809355
185590,-74.199455,40.859233
184047,-74.381367,40.861433
443216,-74.4171,40.860149
184357,-74.417412,40.604953
440217,-74.42481,40.620102
383279,-74.426989,40.622451
185651,-74.405638,40.607347
185679,-74.404881,40.60712
417831,-74.358205,40.616491
186584,-74.248753,40.742859
441122,-74.25881,40.74765
436003,-74.421204,40.547815
184427,-74.419926,40.552068
184506,-74.239193,40.684842
185262,-74.234668,40.679429
185396,-74.274929,40.706359
185767,-74.018022,40.7859
187222,-74.191667,40.743408
185828,-74.177113,40.741997
186399,-74.175294,40.741303
184481,-74.178234,40.738444
437723,-74.193608,40.73855
185721,-74.144192,40.810742
443401,-74.23207,40.725651
184320,-74.215173,40.665559
376118,-74.04703,40.721602
185129,-74.08727,40.709937
421878,-74.059988,40.735031
249140,-74.086457,40.708766
444802,-74.06582,40.733751
185730,-74.067359,40.731475
186432,-74.071541,40.727105
184995,-74.062861,40.730559
445300,-74.033131,40.726763
183789,-74.188765,40.90208
420343,-74.148846,41.083771
186201,-74.116384,41.007523
441548,-74.28807,40.99948
184959,-74.131486,41.057866
183901,-74.25004,40.943608
187444,-74.199465,40.946256
186034,-74.168778,40.918449
186335,-74.155017,40.952834
183725,-74.21763,40.903348
186016,-74.041359,40.889489
183488,-74.040491,40.885847
183983,-74.033997,40.901784
187000,-74.071874,40.841265
437501,-73.9758,40.893343
184612,-74.096452,40.867272
442073,-74.062142,40.916198
407425,-74.071287,40.962905
184135,-74.07047,40.947107
183743,-74.094086,40.953733
441557,-74.09474,40.904131
184968,-74.011166,40.882403
184603,-74.030023,40.896162
186900,-74.250332,40.217171
184144,-74.041042,40.250597
186885,-74.04694,40.175357
183859,-74.132746,40.324906
374592,-73.99097,40.297932
374699,-74.02176,40.263575
185572,-74.006447,40.280066
185174,-74.552551,40.887386
183974,-74.832775,40.848693
247603,-74.758079,41.067633
184180,-74.577509,40.853428
436854,-74.632422,40.86609
245625,-75.005977,40.752353
413909,-74.586151,40.655399
184694,-74.435359,40.777364
184348,-74.425825,40.757026
414063,-74.486405,40.855589
186618,-74.436039,40.781061
186186,-74.502182,40.811385
442462,-75.020854,39.941621
184816,-75.020767,39.941907
184870,-75.025191,39.942536
183938,-75.040471,39.785083
186052,-75.061659,39.807941
212708,-75.029963,39.805256
184782,-75.117974,39.709768
185970,-75.126308,39.898805
185466,-74.90416,39.88488
374574,-74.90342,39.949446
183877,-74.645467,39.964352
186469,-75.448633,39.753519
186830,-74.9541,40.029361
184791,-75.12173,39.782484
430403,-75.10637,39.74953
420130,-75.10637,39.74953
185332,-75.01371,39.829014
374680,-75.13221,39.830313
186371,-75.125303,39.948628
184153,-75.116469,39.941522
184278,-75.10976,39.918663
185916,-75.069933,39.933955
186593,-74.523942,39.392103
440086,-74.612508,39.43275
186876,-74.55515,39.47872
430616,-74.7581,39.478771
183655,-74.682286,39.461387
186849,-75.01887,39.492265
184205,-75.054685,39.438417
186122,-74.665321,40.3457
186131,-74.663708,40.348496
185509,-74.650719,40.254398
187046,-74.769652,40.22011
187134,-74.777412,40.268742
437255,-74.82295,40.264708
186423,-74.74186,40.216523
186405,-74.741869,40.216592
186283,-74.742822,40.283122
430218,-74.72951,40.276782
184773,-74.22622,40.098706
367398,-74.14461,40.030965
183804,-74.220777,40.095461
407391,-74.143209,40.039225
183831,-74.123,40.042479
431716,-74.195308,39.983014
185873,-74.166842,40.007809
417822,-74.606757,40.588961
443225,-74.395005,40.532872
384421,-74.399497,40.499821
185536,-74.365723,40.506117
184056,-74.345121,40.572262
187161,-74.30514,40.559174
440907,-74.33844,40.529355
185235,-74.46094,40.555355
441566,-74.46094,40.555355
184010,-74.3298,40.397507
186274,-74.267346,40.508929
186645,-74.6955,40.61769
440794,-74.578426,40.536628
185758,-74.460811,40.501935
186380,-74.45051,40.503796
184269,-74.438905,40.465924
445577,-74.444265,40.467138
196477,-73.996048,40.750572
436526,-73.99538,40.7487
191126,-73.994781,40.74731
195067,-73.986453,40.748938
196389,-73.99567,40.746384
193788,-73.991955,40.752437
194611,-73.995213,40.716083
193070,-73.991271,40.713812
196857,-73.987865,40.735309
190372,-73.990516,40.72938
191834,-73.993808,40.733027
420981,-74.04118,40.699226
421647,-74.00721,40.714754
190381,-74.00721,40.714754
188465,-74.00721,40.714754
190521,-74.011826,40.71879
196592,-73.989932,40.742172
190512,-73.983417,40.740238
197151,-73.98224,40.738742
189282,-73.98205,40.739022
414595,-73.989976,40.739816
421841,-73.993388,40.740148
193654,-73.994636,40.735275
188696,-73.998566,40.734545
188890,-73.994812,40.740701
130581,-74.002085,40.739862
191320,-74.003478,40.745656
196459,-74.00012,40.741012
193900,-73.997264,40.729452
203067,-73.994499,40.728938
365055,-74.006208,40.720525
193821,-74.006394,40.717393
191153,-74.00526,40.720666
190114,-74.007056,40.723516
375009,-74.00526,40.720666
366368,-74.006019,40.718388
191287,-74.00009,40.720817
192998,-74.008303,40.736915
197522,-73.981291,40.751775
430564,-73.983774,40.745464
190576,-73.983575,40.748503
191311,-73.980647,40.751351
188678,-73.984843,40.745545
189228,-73.979577,40.754043
189769,-73.97231,40.752159
441584,-73.989258,40.753349
390394,-73.99337,40.755101
192147,-73.99337,40.755101
189787,-73.99337,40.755101
192688,-73.983749,40.764351
190008,-73.984607,40.762059
191870,-73.9856,40.765714
190600,-73.988381,40.770675
188687,-73.993782,40.769031
192864,-73.959676,40.769108
194116,-73.962404,40.768615
190594,-73.96045,40.76842
190424,-73.96045,40.76842
192970,-73.96045,40.76842
193609,-73.965332,40.756613
192271,-73.974911,40.759817
427335,-73.969644,40.760598
194107,-73.98285,40.776099
188854,-73.982249,40.780142
188669,-73.98285,40.776099
192110,-73.982913,40.773725
189015,-73.966643,40.805604
439659,-73.95499,40.812665
191393,-73.95499,40.812665
189097,-73.964027,40.809137
192712,-73.961691,40.812341
192040,-73.960287,40.811959
190150,-73.961885,40.808286
196884,-73.96212,40.811461
196468,-73.960399,40.810311
193405,-73.953445,40.789801
190567,-73.95055,40.819794
383507,-73.943833,40.829191
189413,-73.9458,40.833434
197708,-73.928541,40.8508
194073,-73.940306,40.804899
191597,-73.943009,40.802506
196228,-73.982236,40.754465
444918,-73.99019,40.759511
195623,-73.987356,40.757277
194310,-74.004719,40.711014
195845,-74.00365,40.709677
197197,-74.09573,40.615003
436809,-74.09432,40.631775
189103,-74.08991,40.60787
195784,-74.08991,40.60787
190558,-74.148701,40.603949
190585,-73.927363,40.817601
190530,-73.909742,40.857185
192855,-73.88881,40.864166
191241,-73.889578,40.861183
196291,-73.800336,40.809048
193308,-73.900501,40.86407
190637,-73.894627,40.873928
431983,-73.911096,40.896668
192703,-73.901893,40.889756
193399,-73.907019,40.912814
193016,-73.874571,41.021436
197674,-73.728423,41.22085
193380,-73.840408,40.912046
197337,-73.837751,40.912476
192165,-73.810559,41.222686
193991,-73.919085,41.291013
194189,-73.889793,41.268725
192749,-73.718316,41.031054
432357,-73.705238,41.048648
196219,-73.700127,41.047092
193122,-73.77785,41.083848
197294,-73.78814,41.06717
193830,-73.811241,41.084261
431770,-73.765536,41.278181
189246,-73.76454,41.032489
364326,-73.745206,41.027865
197285,-73.784404,41.033687
190071,-73.88629,40.968797
441627,-73.897524,40.929512
195571,-73.862372,40.930862
195580,-73.82332,40.971362
190248,-73.82212,40.94253
195304,-73.84381,40.934147
